NAME,ADDRESS,IMAGE,LINK,AREA,MEAL,TYPE,TAGS,COORDS
Wildfire Burgers,"80 Bencoolen St, #01-15, NAFA Campus",https://images.squarespace-cdn.com/content/v1/5ec69a21d1b2b336d94836d5/8c4876c6-34c7-457a-b96a-e9241026b1db/Truffled+Mushroom+Burger.jpg,https://goo.gl/maps/qh9yAEmjFpHemBVz5,CN,"Brunch, Lunch, Dinner",C,Veg,"1.299932836185389, 103.85156513471105"
Marie’s Lapis Cafe,"537 Bedok North Street 3, #01-575",https://drive.google.com/uc?export=view&id=1EBcentBVFF8sC0oXPjsGzlsh3brILGhY,https://goo.gl/maps/Bz7cbQ2ULMvVW3M78,ET,"Breakfast, Brunch, Lunch, Dinner, Dessert",C,,"1.3318038094264835, 103.92449825613757"
Wild Olives,"110 Pasir Ris Central, #02-19",https://drive.google.com/uc?export=view&id=1y9rH1FlYHIQ-ME2upPgNZL4NRxM0HIRY,https://goo.gl/maps/CjTJAT3ony8qAu1AA,ET,"Lunch, Dinner",H,,"1.373538025102959, 103.95166127395375"
Percolate Coffee,"136 Bedok North Ave 3, #01-152",https://drive.google.com/uc?export=view&id=1s2HoSwfjpwrmNXBf9jlgG2_LMa5KnQvo,https://goo.gl/maps/XVaBEojVFB9wCFPm7,ET,"Breakfast, Brunch, Lunch",C,,"1.3282547298897673, 103.93525934254845"
Al Falah Restaurant,"681 Hougang Ave 8, #01-855",https://drive.google.com/uc?export=view&id=1kA4QtvHM_ad5TyBqW28nHqp7UMedjCGM,https://goo.gl/maps/wuUJRv15P6mQXY4r7,NE,"Breakfast, Brunch, Lunch, Dinner, Dessert",H,"Veg, Halal","1.373131817618963, 103.88610843466529"
Sin Heng Kee Porridge,"685 Hougang St. 61, #01-150",https://images.deliveryhero.io/image/fd-sg/LH/y3xh-hero.jpg,https://goo.gl/maps/GAM2Z54eJEijiFU57,NE,"Breakfast, Brunch, Lunch, Dinner",H,,"1.3749784363545259, 103.88584766901269"
Denzy Gelato,"684 Hougang Ave 8, #01-953",http://danielfooddiary.com/wp-content/uploads/2019/03/denzygelato1.jpeg,https://goo.gl/maps/EUWwKNEnHfDsxXMj7,NE,Dessert,C,,"1.3742648858462647, 103.88661570748751"
Joo Siah Bak Koot Teh,"01-1215 Jurong East Ave 1, Block 349",https://danielfooddiary.com/wp-content/uploads/2021/08/joosiah1.jpg,https://goo.gl/maps/HfSCkfZKWM8Gs9jW6,WT,"Breakfast, Brunch, Lunch, Dinner",H,,"1.3444768340877629, 103.7315538891941"
Maruhachi Donburi & Curry,"818 Choa Chu Kang Ave 1, #01-01",https://drive.google.com/uc?export=view&id=1jlZ6AiVdc_KydPk6KiEq7IP--Z5LSm41,https://goo.gl/maps/rEZDizV1XyWv18YR7,WT,"Brunch, Lunch, Dinner",H,,"1.3780415071984928, 103.748662483442"
Lau Wang Claypot Delights,"263 Serangoon Central Dr, #01-43",https://www.lauwangclaypot.com/images/slider/02.jpg,https://goo.gl/maps/SXnpamD5PRX2hTt26,NE,"Lunch, Dinner",H,,"1.3544836798242341, 103.87204370423754"
Janggut Laksa,"1 Queensway, #01-59",https://drive.google.com/uc?export=view&id=1e1qRu9pd3Rh7oGcaiM-hxujRpa7wv59R,https://goo.gl/maps/NXmP8o3gGB6wVbYJ8,CN,"Lunch, Dinner",H,,"1.2875830137041004, 103.80342559646346"
928 Yishun Laksa,"928 Yishun Central 1, #01-155",https://drive.google.com/uc?export=view&id=1OYYgiwrgoeuQtGDlloPtSpd8hyEnPY0t,https://goo.gl/maps/FtQfxYs9nKiDT4ST9,NT,"Breakfast, Brunch, Lunch",H,,"1.4273129059750291, 103.83763743585787"
Raffles Western Delights,631 Bedok Reservoir Rd,https://drive.google.com/uc?export=view&id=1y1oKuV3t0WgNInd4Ro_XFb9_ZPiufd-A,https://goo.gl/maps/KWWMB2vLGKz7DbK58,ET,"Lunch, Dinner",H,,"1.333563230909197, 103.91511005036155"
Yakiniku Hero,"218 Bedok North Street 1, #01-01",https://rs-menus-api.roocdn.com/images/8db66429-54a4-41d0-a425-d69a15f7b1f4/image.jpeg,https://goo.gl/maps/gSsRBT1RWk3PJmqv5,ET,"Lunch, Dinner",H,,"1.327192430987026, 103.93482852718105"
Tipo Pasta Bar,"28 Aliwal St, #01-07",https://eatbook.sg/wp-content/uploads/2022/10/tipo-classy-carbonara.jpg,https://goo.gl/maps/daHLnn9Zrq5fKKScA,CN,"Lunch, Dinner",C,"Veg, Halal","1.3026059752004973, 103.86102580578392"
Hammee's Burgers,"31 Commonwealth Cres, #02-93, Market & Food Centre",https://drive.google.com/uc?export=view&id=18Z4ArS_SyhvtsFxCEOxuEr6YVBdorR7g,https://goo.gl/maps/iPAzbz3JWYAXKRi19,CN,Lunch,H,,"1.3069630467191258, 103.8003175081263"
Lee's Confectionery,"343 Jurong East Street 31, #01-59",https://eatbook.sg/wp-content/uploads/2019/01/Lees-Confectionery-flatlay.jpg,https://goo.gl/maps/5VhVtjnKBqW6mZAe6,WT,Dessert,C,,"1.3458933707398801, 103.7311345363402"
